company,"Remark Holdings, Inc."
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4222322-remark-holdings-inc-mark-ceo-kai-shing-tao-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Remark Holdings, Inc. (MARK) CEO Kai-Shing Tao on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,MARK
year,18
