company,Bank of America Corporation
symbol,BAC
month,4
day,16
year,19
quarter,Q1
link,"<a class=""dashboard-article-link"" href=""/article/4254779-bank-america-corporation-bac-ceo-brian-moynihan-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Bank of America Corporation (BAC) CEO Brian Moynihan on Q1 2019 Results - Earnings Call Transcript</a>"
