company,Cherokee Inc.
symbol,CHKE
month,6
day,18
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4270938-cherokee-inc-chke-ceo-henry-stupp-q1-2020-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Cherokee Inc. (CHKE) CEO Henry Stupp on Q1 2020 Results - Earnings Call Transcript</a>"
