company,Precision Therapeutics Inc.
day,11
link,"<a class=""dashboard-article-link"" href=""/article/4222994-precision-therapeutics-inc-aipt-ceo-dr-carl-schwartz-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Precision Therapeutics Inc. (AIPT) CEO Dr. Carl Schwartz on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,AIPT
year,18
