"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 13, 2020","92.80","92.93","93.00","92.77","-","-0.17%"
"Nov 12, 2020","92.96","93.01","93.14","92.78","-","-0.09%"
"Nov 11, 2020","93.04","92.70","93.21","92.61","-","0.32%"
"Nov 10, 2020","92.75","92.76","92.97","92.60","-","0.03%"
"Nov 09, 2020","92.72","92.24","92.96","92.13","-","0.54%"
"Nov 06, 2020","92.23","92.57","92.82","92.18","-","-0.32%"
"Nov 05, 2020","92.53","93.34","93.54","92.49","-","-0.94%"
"Nov 04, 2020","93.41","93.09","94.30","93.09","-","-0.16%"
"Nov 03, 2020","93.55","94.05","94.05","93.29","-","-0.61%"
"Nov 02, 2020","94.13","93.89","94.29","93.89","-","0.10%"
"Oct 30, 2020","94.04","93.92","94.08","93.65","-","0.09%"
"Oct 29, 2020","93.96","93.46","94.10","93.33","-","0.59%"
"Oct 28, 2020","93.40","93.15","93.64","93.05","-","0.50%"
"Oct 27, 2020","92.94","93.07","93.13","92.79","-","-0.11%"
"Oct 26, 2020","93.04","92.76","93.11","92.74","-","0.30%"
"Oct 23, 2020","92.77","92.93","93.13","92.66","-","-0.20%"
"Oct 22, 2020","92.95","92.67","92.97","92.61","-","0.37%"
"Oct 21, 2020","92.61","93.05","93.07","92.47","-","-0.49%"
"Oct 20, 2020","93.07","93.42","93.50","93.00","-","-0.39%"
"Oct 19, 2020","93.43","93.72","93.77","93.21","-","-0.27%"
"Oct 16, 2020","93.68","93.80","93.88","93.53","-","-0.19%"
"Oct 15, 2020","93.86","93.43","93.90","93.37","-","0.51%"
"Oct 14, 2020","93.38","93.54","93.67","93.25","-","-0.16%"
"Oct 13, 2020","93.53","93.03","93.60","93.03","-","0.50%"
"Oct 12, 2020","93.07","93.06","93.24","93.01","-","0.01%"
"Oct 09, 2020","93.06","93.56","93.59","93.00","-","-0.59%"
"Oct 08, 2020","93.61","93.61","93.78","93.50","-","-0.03%"
"Oct 07, 2020","93.63","93.83","93.90","93.56","-","-0.06%"
"Oct 06, 2020","93.69","93.43","93.85","93.33","-","0.18%"
"Oct 05, 2020","93.51","93.81","93.87","93.37","-","-0.35%"
"Oct 02, 2020","93.84","93.73","94.03","93.69","-","0.14%"
"Oct 01, 2020","93.71","93.80","93.92","93.53","-","-0.19%"
"Sep 30, 2020","93.89","93.85","94.19","93.67","-","0.00%"
"Sep 29, 2020","93.89","94.24","94.30","93.82","-","-0.41%"
"Sep 28, 2020","94.28","94.58","94.64","94.15","-","-0.38%"
"Sep 25, 2020","94.64","94.32","94.74","94.19","-","0.31%"
"Sep 24, 2020","94.35","94.38","94.59","94.20","-","-0.04%"
"Sep 23, 2020","94.39","93.99","94.43","93.93","-","0.43%"
"Sep 22, 2020","93.99","93.55","94.08","93.46","-","0.35%"
"Sep 21, 2020","93.66","93.00","93.78","92.75","-","0.79%"
"Sep 18, 2020","92.93","92.86","93.01","92.77","-","-0.05%"
"Sep 17, 2020","92.97","93.15","93.59","92.87","-","-0.26%"
"Sep 16, 2020","93.21","93.08","93.28","92.78","-","0.18%"
"Sep 15, 2020","93.05","93.06","93.14","92.79","-","0.00%"
"Sep 14, 2020","93.05","93.29","93.33","92.87","-","-0.30%"
"Sep 11, 2020","93.33","93.33","93.38","93.10","-","0.00%"
"Sep 10, 2020","93.34","93.23","93.45","92.70","-","0.09%"
"Sep 09, 2020","93.25","93.58","93.66","93.14","-","-0.20%"
"Sep 08, 2020","93.44","93.05","93.52","93.00","-","0.78%"
"Sep 07, 2020","92.72","92.97","93.09","92.72","-","0.00%"
"Sep 04, 2020","92.72","92.80","93.24","92.66","-","-0.02%"
"Sep 03, 2020","92.74","92.66","93.07","92.65","-","-0.12%"
"Sep 02, 2020","92.85","92.28","92.87","92.21","-","0.55%"
"Sep 01, 2020","92.34","92.18","92.40","91.75","-","0.21%"
"Aug 31, 2020","92.14","92.30","92.48","91.99","-","-0.25%"
"Aug 28, 2020","92.37","93.02","93.10","92.20","-","-0.68%"
"Aug 27, 2020","93.00","92.85","93.32","92.42","-","0.00%"
"Aug 26, 2020","93.01","93.02","93.36","92.85","-","-0.01%"
"Aug 25, 2020","93.02","93.28","93.35","92.97","-","-0.30%"
"Aug 24, 2020","93.30","93.20","93.34","92.84","-","0.05%"
"Aug 21, 2020","93.25","92.72","93.47","92.57","-","0.49%"
"Aug 20, 2020","92.79","92.96","93.24","92.73","-","-0.10%"
"Aug 19, 2020","92.89","92.28","93.05","92.15","-","0.67%"
"Aug 18, 2020","92.27","92.82","92.82","92.13","-","-0.62%"
"Aug 17, 2020","92.85","93.10","93.12","92.77","-","-0.26%"
"Aug 14, 2020","93.10","93.22","93.41","93.01","-","-0.26%"
"Aug 13, 2020","93.33","93.36","93.39","92.93","-","-0.12%"
