company,Weston George Ltd.
day,18
link,"<a class=""dashboard-article-link"" href=""/article/4223584-weston-george-ltd-canada-wngrf-ceo-galen-weston-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Weston George Ltd. (Canada) (WNGRF) CEO Galen Weston on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,Canada
year,18
