company,"Chico's FAS, Inc."
symbol,CHS
month,6
day,11
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4269623-chicos-fas-inc-chs-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Chico's FAS, Inc. (CHS) Q1 2019 Results - Earnings Call Transcript</a>"
