company,"Texas Roadhouse, Inc."
symbol,TXRH
month,10
day,29
year,18
quarter,Q3
link,"<a class=""dashboard-article-link"" href=""/article/4215648-texas-roadhouse-inc-txrh-ceo-wayne-kent-taylor-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Texas Roadhouse, Inc. (TXRH) CEO Wayne Kent Taylor on Q3 2018 Results - Earnings Call Transcript</a>"
