company,Jianpu Technology Inc.
symbol,JT
month,5
day,28
year,19
quarter,Q1
link,"<a class=""dashboard-article-link"" href=""/article/4266810-jianpu-technology-inc-jt-ceo-david-ye-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Jianpu Technology Inc. (JT) CEO David Ye on Q1 2019 Results - Earnings Call Transcript</a>"
