company,"L Brands, Inc."
day,16
link,"<a class=""dashboard-article-link"" href=""/article/4223649-l-brands-inc-lb-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">L Brands, Inc. (LB) Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,LB
year,18
