company,Medicure Inc.
symbol,MCUJF
month,5
day,27
year,19
quarter,Q1
link,"<a class=""dashboard-article-link"" href=""/article/4266829-medicure-inc-mcujf-ceo-albert-friesen-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Medicure Inc. (MCUJF) CEO Albert Friesen on Q1 2019 Results - Earnings Call Transcript</a>"
