company,Barfresh Food Group Inc.
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4222355-barfresh-food-group-inc-brfh-ceo-riccardo-delle-coste-q3-2018-results-earnings-call"" sasource=""earnings-center-transcripts_article"">Barfresh Food Group Inc. (BRFH) CEO Riccardo Delle Coste on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,BRFH
year,18
