company,Dollar General Corporation's
symbol,DG
month,5
day,30
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4267311-dollar-general-corporations-dg-ceo-todd-vasos-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Dollar General Corporation's (DG) CEO Todd Vasos on Q1 2019 Results - Earnings Call Transcript</a>"
