company,KBC Group SA
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4222724-kbc-group-sa-kbcsf-ceo-johan-thijs-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">KBC Group SA (KBCSF) CEO Johan Thijs on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,KBCSF
year,18
