company,"American Software, Inc."
symbol,AMSWA
month,6
day,19
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4271151-american-software-inc-amswa-q4-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">American Software, Inc. (AMSWA) Q4 2019 Results - Earnings Call Transcript</a>"
