company,Mercantile Bank Corporation
symbol,MBWM
link,"<a class=""dashboard-article-link"" href=""/article/4254759-mercantile-bank-corporation-mbwm-ceo-bob-kaminski-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Mercantile Bank Corporation (MBWM) CEO Bob Kaminski on Q1 2019 Results - Earnings Call Transcript</a>"
