company,"Valener and Énergir, L.P."
day,19
link,"<a class=""dashboard-article-link"" href=""/article/4224229-valener-energir-l-p-vnrcf-ceo-sophie-brochu-q4-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Valener and Énergir, L.P. (VNRCF) CEO Sophie Brochu on Q4 2018 Results - Earnings Call Transcript</a>"
month,10
quarter,Q4
symbol,VNRCF
year,18
