company,"Tilly's, Inc."
symbol,TLYS
month,5
day,29
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4267175-tillys-inc-tlys-ceo-ed-thomas-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Tilly's, Inc. (TLYS) CEO Ed Thomas on Q1 2019 Results - Earnings Call Transcript</a>"
