company,Matthews International's
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4222918-matthews-internationals-matw-ceo-joe-bartolacci-q4-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Matthews International's (MATW) CEO Joe Bartolacci on Q4 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q4
symbol,MATW
year,18
