company,"NovaBay Pharmaceuticals, Inc"
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4222335-novabay-pharmaceuticals-inc-nby-ceo-john-mcgovern-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">NovaBay Pharmaceuticals, Inc (NBY) CEO John McGovern on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,NBY
year,18
