type,name
Executives,Dan Jaffee - President and CEO
Executives,Dan Smith - CFO
Executives,Laura Scheland - VP and General Counsel
Executives,Reagan Culbertson - Investor Relations Manager
Executives,Mike McPherson - Chief Development Officer
Analysts,Ethan Starr - Private Investor
Analysts,"John Bair - Ascend Wealth Advisors, LLC"
Analysts,Robert Smith - Center for Performance Investing
