company,Medtronic Plc
day,6
link,"<a class=""dashboard-article-link"" href=""/article/4223660-medtronic-plc-mdt-ceo-omar-ishrak-q2-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Medtronic Plc (MDT) CEO Omar Ishrak on Q2 2019 Results - Earnings Call Transcript</a>"
month,10
quarter,Q2
symbol,MDT
year,18
