company,Sandstorm Gold Ltd
day,11
link,"<a class=""dashboard-article-link"" href=""/article/4222661-sandstorm-gold-ltd-sand-ceo-nolan-watson-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Sandstorm Gold Ltd (SAND) CEO Nolan Watson on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,SAND
year,18
