type,name
Executives,Liv Garfield - CEO & Executive Director
Executives,Anthony Balance - Director of Strategy & Regulation
Executives,James Bowling - CFO & Executive Director
Executives,Sarah Bentley - Chief Customer Officer
Analysts,James Brand - Deutsche Bank
Analysts,Mark Freshney - Credit Suisse
Analysts,Deborah Gilshan - Aberdeen Standard Investments
Analysts,Mark Nelson - Killik & Co.
