company,Severn Trent PLC
day,18
link,"<a class=""dashboard-article-link"" href=""/article/4224111-severn-trent-plc-svtrf-ceo-liv-garfield-q2-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Severn Trent PLC (SVTRF) CEO Liv Garfield on Q2 2019 Results - Earnings Call Transcript</a>"
month,11
symbol,SVTRF
year,18
