company,Royal Mail's
day,15
link,"<a class=""dashboard-article-link"" href=""/article/4222681-royal-mails-roymf-ceo-rico-back-half-year-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Royal Mail's (ROYMF) CEO Rico Back on Half Year 2019 Results - Earnings Call Transcript</a>"
month,11
symbol,ROYMF
year,18
