type,name
Executives,"Jonathan Ross - Head, IR"
Executives,Marc Lustig - CEO
Executives,Francois Perrault - CFO
Executives,Afzal Hasan - President and General Counsel
Analysts,Matt Bottomley - Canaccord Genuity
Analysts,Keith Carpenter - AltaCorp Capital
Analysts,Adam Altberg - BMO Nesbitt Burns
