company,J.C. Penney Company Inc.
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4222600-j-c-penney-company-inc-jcp-ceo-jill-soltau-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">J.C. Penney Company Inc. (JCP) CEO Jill Soltau on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,JCP
year,18
