company,SYNNEX Corporation
symbol,SNX
month,6
day,25
year,19
quarter,Q2
link,"<a class=""dashboard-article-link"" href=""/article/4272123-synnex-corporation-snx-ceo-dennis-polk-q2-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">SYNNEX Corporation (SNX) CEO Dennis Polk on Q2 2019 Results - Earnings Call Transcript</a>"
