company,Alexco Resource Corporation
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4222936-alexco-resource-corporation-axu-ceo-clynt-nauman-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Alexco Resource Corporation (AXU) CEO Clynt Nauman on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,AXU
year,18
