company,Entertainment One Ltd.
day,20
link,"<a class=""dashboard-article-link"" href=""/article/4223739-entertainment-one-ltd-entmf-ceo-darren-throop-q2-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Entertainment One Ltd. (ENTMF) CEO Darren Throop on Q2 2019 Results - Earnings Call Transcript</a>"
month,11
symbol,ENTMF
year,18
