company,Adobe Inc.
symbol,ADBE
month,6
day,18
year,19
quarter,Q2
link,"<a class=""dashboard-article-link"" href=""/article/4270943-adobe-inc-adbe-ceo-shantanu-narayen-q2-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Adobe Inc. (ADBE) CEO Shantanu Narayen on Q2 2019 Results - Earnings Call Transcript</a>"
