company,Panoro Energy ASA
symbol,PESAF
month,5
day,23
year,19
quarter,Q1
link,"<a class=""dashboard-article-link"" href=""/article/4266176-panoro-energy-asa-pesaf-ceo-john-hamilton-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Panoro Energy ASA (PESAF) CEO John Hamilton on Q1 2019 Results - Earnings Call Transcript</a>"
