company,"Delta Apparel, Inc."
day,15
link,"<a class=""dashboard-article-link"" href=""/article/4222684-delta-apparel-inc-dla-ceo-bob-humphreys-q4-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Delta Apparel, Inc. (DLA) CEO Bob Humphreys on Q4 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q4
symbol,DLA
year,18
