company,PPDAI Group Inc.
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4223625-ppdai-group-inc-ppdf-ceo-cliff-zhang-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">PPDAI Group Inc. (PPDF) CEO Cliff Zhang on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,PPDF
year,18
