company,"Luxoft Holding, Inc."
day,19
link,"<a class=""dashboard-article-link"" href=""/article/4222561-luxoft-holding-inc-lxft-ceo-dmitry-loschinin-q2-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Luxoft Holding, Inc. (LXFT) CEO Dmitry Loschinin on Q2 2019 Results - Earnings Call Transcript</a>"
month,10
quarter,Q3
symbol,LXFT
year,18
