company,"Haynes International, Inc."
day,14
link,"<a class=""dashboard-article-link"" href=""/article/4222885-haynes-international-inc-hayn-ceo-mike-shor-q4-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Haynes International, Inc. (HAYN) CEO Mike Shor on Q4 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q4
symbol,HAYN
year,18
