company,"Spire, Inc."
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4222628-spire-inc-sr-ceo-suzanne-sitherwood-q4-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Spire, Inc. (SR) CEO Suzanne Sitherwood on Q4 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q4
symbol,SR
year,18
