company,Costco Wholesale Corporation
symbol,COST
month,5
day,30
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4267437-costco-wholesale-corporation-cost-q3-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Costco Wholesale Corporation (COST) Q3 2019 Results - Earnings Call Transcript</a>"
