company,"H&R Block, Inc."
symbol,HRB
month,6
day,11
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4269668-h-and-r-block-inc-hrb-ceo-jeffrey-jones-q4-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">H&amp;R Block, Inc. (HRB) CEO Jeffrey Jones on Q4 2019 Results - Earnings Call Transcript</a>"
