company,Parsons Corporation
symbol,PSN
month,6
day,18
year,19
quarter,Q1
link,"<a class=""dashboard-article-link"" href=""/article/4270871-parsons-corporation-psn-ceo-charles-harrington-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Parsons Corporation (PSN) CEO Charles Harrington on Q1 2019 Results - Earnings Call Transcript</a>"
