company,GWG Holdings'
day,16
link,"<a class=""dashboard-article-link"" href=""/article/4223918-gwg-holdings-gwgh-ceo-jon-sabes-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">GWG Holdings' (GWGH) CEO Jon Sabes on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,GWGH
year,18
