company,"Intellicheck, Inc."
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4222313-intellicheck-inc-idn-ceo-bryan-lewis-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Intellicheck, Inc. (IDN) CEO Bryan Lewis on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,IDN
year,18
