company,Geospace Technologies Corp
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4222887-geospace-technologies-corp-geos-ceo-walter-wheeler-q4-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Geospace Technologies Corp (GEOS) CEO Walter Wheeler on Q4 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q4
symbol,GEOS
year,18
