company,Madalena Energy Inc
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4222589-madalena-energy-inc-mdlnf-ceo-jose-penafiel-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Madalena Energy Inc (MDLNF) CEO Jose Penafiel on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,MDLNF
year,18
