company,Safe Bulkers Inc.
symbol,SB
month,5
day,28
year,19
quarter,Q1
link,"<a class=""dashboard-article-link"" href=""/article/4266855-safe-bulkers-inc-sb-ceo-polys-hajioannou-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Safe Bulkers Inc. (SB) CEO Polys Hajioannou on Q1 2019 Results - Earnings Call Transcript</a>"
