company,HP Inc.
symbol,HPQ
month,5
day,23
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4266257-hp-inc-hpq-ceo-dion-weisler-q2-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">HP Inc. (HPQ) CEO Dion Weisler on Q2 2019 Results - Earnings Call Transcript</a>"
