company,"Ambarella, Inc."
symbol,AMBA
month,6
day,4
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4268350-ambarella-inc-amba-ceo-dr-fermi-wang-q1-2020-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Ambarella, Inc. (AMBA) CEO Dr. Fermi Wang on Q1 2020 Results - Earnings Call Transcript</a>"
