company,"ARC Group Worldwide, Inc."
day,13
link,"<a class=""dashboard-article-link"" href=""/article/4222312-arc-group-worldwide-inc-arcw-ceo-alan-quasha-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">ARC Group Worldwide, Inc. (ARCW) CEO Alan Quasha on Q1 2019 Results - Earnings Call Transcript</a>"
month,11
quarter,Q4
symbol,ARCW
year,18
