company,Dollarama Inc.
symbol,DLMAF
month,6
day,13
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4270163-dollarama-inc-dlmaf-ceo-neil-rossy-q1-2020-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Dollarama Inc. (DLMAF) CEO Neil Rossy on Q1 2020 Results - Earnings Call Transcript</a>"
