company,Navios Maritime Holdings Inc.
symbol,NM
month,5
day,28
year,19
quarter,Q1
link,"<a class=""dashboard-article-link"" href=""/article/4266844-navios-maritime-holdings-inc-nm-ceo-angeliki-frangou-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Navios Maritime Holdings Inc. (NM) CEO Angeliki Frangou on Q1 2019 Results - Earnings Call Transcript</a>"
