company,Abercrombie & Fitch Co
symbol,ANF
month,5
day,29
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4267087-abercrombie-and-fitch-co-anf-ceo-fran-horowitz-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Abercrombie &amp; Fitch Co (ANF) CEO Fran Horowitz on Q1 2019 Results - Earnings Call Transcript</a>"
