company,"Cisco Systems, Inc."
day,6
link,"<a class=""dashboard-article-link"" href=""/article/4222324-cisco-systems-inc-csco-ceo-chuck-robbins-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Cisco Systems, Inc. (CSCO) CEO Chuck Robbins on Q1 2019 Results - Earnings Call Transcript</a>"
month,10
quarter,Q1
symbol,CSCO
year,18
