company,Ashtead Group PLC's
symbol,ASHTF
month,6
day,18
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4270805-ashtead-group-plcs-ashtf-ceo-brendan-horgan-q4-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Ashtead Group PLC's (ASHTF) CEO Brendan Horgan on Q4 2019 Results - Earnings Call Transcript</a>"
