company,"Netflix, Inc."
symbol,NFLX
month,4
day,16
year,19
quarter,Q1
link,"<a class=""dashboard-article-link"" href=""/article/4254832-netflix-inc-nflx-ceo-reed-hastings-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Netflix, Inc. (NFLX) CEO Reed Hastings on Q1 2019 Results - Earnings Call Transcript</a>"
