company,"Destination XL Group, Inc."
symbol,DXLG
month,5
day,24
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4266374-destination-xl-group-inc-dxlg-ceo-harvey-kanter-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Destination XL Group, Inc. (DXLG) CEO Harvey Kanter on Q1 2019 Results - Earnings Call Transcript</a>"
