company,Pure Storage
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4223382-pure-storage-pstg-ceo-charlie-giancarlo-q3-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Pure Storage (PSTG) CEO Charlie Giancarlo on Q3 2019 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,PSTG
year,18
