company,Mobile TeleSystems Public Joint Stock Company
symbol,MBT
month,5
day,23
year,19
quarter,Q1
link,"<a class=""dashboard-article-link"" href=""/article/4266203-mobile-telesystems-public-joint-stock-company-mbt-ceo-alexey-kornya-q1-2019-results-earnings"" sasource=""earnings-center-transcripts_article"">Mobile TeleSystems Public Joint Stock Company (MBT) CEO Alexey Kornya on Q1 2019 Results - Earnings Call Transcript</a>"
