company,Capstone Turbine Corporation
symbol,CPST
month,6
day,11
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4269769-capstone-turbine-corporation-cpst-ceo-darren-jamison-q4-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Capstone Turbine Corporation (CPST) CEO Darren Jamison on Q4 2019 Results - Earnings Call Transcript</a>"
