company,Select Sands Corp
day,11
link,"<a class=""dashboard-article-link"" href=""/article/4222596-select-sands-corp-slsdf-ceo-zigurds-vitols-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Select Sands Corp (SLSDF) CEO Zigurds Vitols on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,SLSDF
year,18
