company,Cresud S.A.C.I.F. y A.
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4222494-cresud-s-c-f-y-cresy-ceo-alejandro-elsztain-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Cresud S.A.C.I.F. y A. (CRESY) CEO Alejandro Elsztain on Q1 2019 Results - Earnings Call Transcript</a>"
month,11
quarter,Q1
symbol,CRESY
year,18
