company,"Stage Stores, Inc."
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4223566-stage-stores-inc-ssi-ceo-michael-glazer-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Stage Stores, Inc. (SSI) CEO Michael Glazer on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,SSI
year,18
