company,Nuvectra Corporation
symbol,NVTR
month,10
day,29
year,18
quarter,Q3
link,"<a class=""dashboard-article-link"" href=""/article/4215660-nuvectra-corporation-nvtr-ceo-scott-drees-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Nuvectra Corporation (NVTR) CEO Scott Drees on Q3 2018 Results - Earnings Call Transcript</a>"
