company,Nano Dimension's
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4222541-nano-dimensions-nndm-ceo-amit-dror-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Nano Dimension's (NNDM) CEO Amit Dror on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,NNDM
year,18
